,Unnamed: 0,person1,bench3,person2,filename
1,person2,254,485,0.0,72
2,bench3,730,0,485.0,72
0,person1,0,726,271.0,66
1,person2,271,461,0.0,66
2,bench3,726,0,461.0,66
0,person1,0,737,,198
1,bench3,737,0,,198
0,person1,0,670,115.0,173
1,bench3,670,0,736.0,173
2,person2,115,736,0.0,173
0,person1,0,781,215.0,99
1,person2,215,575,0.0,99
2,bench3,781,0,575.0,99
0,person1,0,666,115.0,167
1,bench3,666,0,726.0,167
2,person2,115,726,0.0,167
0,person1,0,659,140.0,159
1,bench3,659,0,719.0,159
2,person2,140,719,0.0,159
0,person1,0,667,112.0,171
1,bench3,667,0,732.0,171
2,person2,112,732,0.0,171
0,person1,0,665,121.0,165
1,bench3,665,0,722.0,165
2,person2,121,722,0.0,165
0,person1,0,724,256.0,70
1,person2,256,476,0.0,70
2,bench3,724,0,476.0,70
0,person1,0,725,276.0,64
1,person2,276,456,0.0,64
2,bench3,725,0,456.0,64
0,person1,0,723,287.0,58
1,person2,287,441,0.0,58
2,bench3,723,0,441.0,58
0,person1,0,722,283.0,59
1,person2,283,444,0.0,59
2,bench3,722,0,444.0,59
0,person1,0,726,274.0,65
1,person2,274,458,0.0,65
2,bench3,726,0,458.0,65
0,person1,0,727,255.0,71
1,person2,255,481,0.0,71
2,bench3,727,0,481.0,71
0,person1,0,665,124.0,164
1,bench3,665,0,721.0,164
2,person2,124,721,0.0,164
0,person1,0,668,111.0,170
1,bench3,668,0,731.0,170
2,person2,111,731,0.0,170
0,person1,0,658,137.0,158
1,bench3,658,0,720.0,158
2,person2,137,720,0.0,158
