,Unnamed: 0,car:1,motorcycle:2,person:3,car:4,person:5,motorcycle:6,car:7,truck:4,person:4,car:8,car:10,car:13,motorcycle:10,car:15,person:8,truck:13
2,person:3,957.0,280,0,1924.0,562,561.0,2176.0,,,,,,,,,
3,car:4,966.0,1939,1924,0.0,1361,1374.0,252.0,,,,,,,,,
4,person:5,395.0,625,562,1361.0,0,103.0,1613.0,,,,,,,,,
5,motorcycle:6,413.0,577,561,1374.0,103,0.0,1626.0,,,,,,,,,
6,car:7,1219.0,2189,2176,252.0,1613,1626.0,0.0,,,,,,,,,
0,car:1,0.0,994,961,980.0,394,416.0,,,,,,,,,,
1,motorcycle:2,994.0,0,291,1957.0,634,579.0,,,,,,,,,,
2,person:3,961.0,291,0,1941.0,566,564.0,,,,,,,,,,
3,car:4,980.0,1957,1941,0.0,1374,1390.0,,,,,,,,,,
4,person:5,394.0,634,566,1374.0,0,111.0,,,,,,,,,,
5,motorcycle:6,416.0,579,564,1390.0,111,0.0,,,,,,,,,,
0,car:1,0.0,995,961,989.0,396,416.0,,,,,,,,,,
1,motorcycle:2,995.0,0,296,1966.0,634,580.0,,,,,,,,,,
2,person:3,961.0,296,0,1951.0,565,565.0,,,,,,,,,,
3,car:4,989.0,1966,1951,0.0,1385,1399.0,,,,,,,,,,
4,person:5,396.0,634,565,1385.0,0,109.0,,,,,,,,,,
5,motorcycle:6,416.0,580,565,1399.0,109,0.0,,,,,,,,,,
0,car:1,0.0,994,960,993.0,397,419.0,,,,,,,,,,
1,motorcycle:2,994.0,0,292,1969.0,630,575.0,,,,,,,,,,
2,person:3,960.0,292,0,1954.0,563,562.0,,,,,,,,,,
3,car:4,993.0,1969,1954,0.0,1390,1406.0,,,,,,,,,,
4,person:5,397.0,630,563,1390.0,0,110.0,,,,,,,,,,
5,motorcycle:6,419.0,575,562,1406.0,110,0.0,,,,,,,,,,
0,car:1,0.0,995,960,997.0,392,413.0,,,,,,,,,,
1,motorcycle:2,995.0,0,302,1973.0,638,584.0,,,,,,,,,,
2,person:3,960.0,302,0,1957.0,567,566.0,,,,,,,,,,
3,car:4,997.0,1973,1957,0.0,1389,1404.0,,,,,,,,,,
4,person:5,392.0,638,567,1389.0,0,108.0,,,,,,,,,,
5,motorcycle:6,413.0,584,566,1404.0,108,0.0,,,,,,,,,,
0,car:1,0.0,993,960,1001.0,404,416.0,,,,,,,,,,
1,motorcycle:2,993.0,0,306,1975.0,627,580.0,,,,,,,,,,
2,person:3,960.0,306,0,1961.0,556,561.0,,,,,,,,,,
3,car:4,1001.0,1975,1961,0.0,1405,1412.0,,,,,,,,,,
4,person:5,404.0,627,556,1405.0,0,101.0,,,,,,,,,,
5,motorcycle:6,416.0,580,561,1412.0,101,0.0,,,,,,,,,,
0,car:1,0.0,705,677,256.0,324,336.0,,,,,,,,,,
1,motorcycle:2,705.0,0,193,957.0,404,369.0,,,,,,,,,,
2,person:3,677.0,193,0,933.0,352,372.0,,,,,,,,,,
3,car:4,256.0,957,933,0.0,580,588.0,,,,,,,,,,
4,person:5,324.0,404,352,580.0,0,105.0,,,,,,,,,,
