,Unnamed: 0,person1,bench3,person2,filename
562,bench3,723,0,441.0,58
563,person1,0,722,283.0,59
564,person2,283,444,0.0,59
565,bench3,722,0,444.0,59
566,person1,0,726,274.0,65
567,person2,274,458,0.0,65
568,bench3,726,0,458.0,65
569,person1,0,727,255.0,71
570,person2,255,481,0.0,71
571,bench3,727,0,481.0,71
572,person1,0,665,124.0,164
573,bench3,665,0,721.0,164
574,person2,124,721,0.0,164
575,person1,0,668,111.0,170
576,bench3,668,0,731.0,170
577,person2,111,731,0.0,170
578,person1,0,658,137.0,158
579,bench3,658,0,720.0,158
580,person2,137,720,0.0,158
